lexId,language,speech,nameType,lexSet,lexText,gloss,freqLex,rankLex
1440517,hbo,nmpr,pers,,בָּלָק,Balak,43,821
1440518,hbo,nmpr,pers,,צִפֹּור,Zippor,7,2659
1440519,hbo,verb,,,גור,be afraid,10,2230
1440520,hbo,verb,,,לחך,eat,6,2866
1440521,hbo,nmpr,pers,,בִּלְעָם,<prophet>,60,621
1440522,hbo,nmpr,topo,,פְּתֹור,Pethor,2,4540
1440523,hbo,subs,,,קֶסֶם,divination,11,2114
1440524,hbo,verb,,,קבב,curse,14,1828
1440525,hbo,subs,,,שָׂטָן,adversary,27,1184
1440526,hbo,verb,,,שׁלף,draw,25,1239
1440527,hbo,subs,,,מִשְׁעֹול,hollow way,1,5715
1440528,hbo,subs,,,גָּדֵר,wall,14,1828
1440529,hbo,adjv,,,צַר,narrow,31,1080
1440530,hbo,verb,,,סכן,serve,13,1916
1440531,hbo,verb,,,ירט,throw,2,4540
1440532,hbo,nmpr,topo,,קִרְיַת חֻצֹות,Kiriath Huzoth,1,5715
1440533,hbo,nmpr,topo,,בָּמֹות בַּעַל,Bamoth Baal,2,4540
1440534,hbo,subs,,,שְׁפִי,track,9,2329
1440535,hbo,subs,,,מָשָׁל,proverb,39,900
1440536,hbo,verb,,,זעם,curse,12,2014
1440537,hbo,verb,,,שׁור,regard,15,1762
1440538,hbo,subs,,,רֹבַע,dust,1,5715
1440539,hbo,verb,,,כזב,lie,16,1679
1440540,hbo,subs,,,אָוֶן,wickedness,78,505
1440541,hbo,subs,,,תֹּועָפֹות,horns,4,3479
1440542,hbo,subs,,,רְאֵם,wild oxen,9,2329
1440543,hbo,subs,,,נַחַשׁ,spell,2,4540
1440544,hbo,subs,,,אֲרִי,lion,35,986
1440545,hbo,verb,,,ישׁר,be right,25,1239
1440546,hbo,nmpr,topo,,פְּעֹור,Peor,5,3122
1440547,hbo,subs,,,שְׁתֻם,<uncertain>,2,4540
1440548,hbo,subs,,,אֵמֶר,word,48,745
1440549,hbo,subs,,,גַּנָּה,garden,16,1679
1440550,hbo,subs,,,אָהָל,aloe,4,3479
1440551,hbo,subs,,,דְּלִי,bucket,2,4540
1440552,hbo,nmpr,pers,,אֲגַג,Agag,8,2471
1440553,hbo,subs,,,מַלְכוּת,kingship,91,454
1440554,hbo,verb,,,גרם,gnaw,3,3915
1440555,hbo,verb,,,מחץ,break,14,1828
1440556,hbo,verb,,,ספק,clap hands,7,2659
1440557,hbo,verb,,,דרך,tread,62,605
1440558,hbo,subs,,,קַרְקַר,<uncertain>,1,5715
1440559,hbo,subs,,,שֵׁת,defiance,1,5715
1440560,hbo,subs,,,יְרֵשָׁה,possession,2,4540
1440561,hbo,nmpr,gens,,קַיִן,Kain,2,4540
1440562,hbo,subs,,,צִי,ship,4,3479
1440563,hbo,nmpr,topo,,שִׁטִּים,Shittim,5,3122
1440564,hbo,verb,,,צמד,attach,5,3122
1440565,hbo,nmpr,pers,,בַּעַל פְּעֹור,Baal Peor,6,2866
1440566,hbo,subs,,,רֹמַח,lance,15,1762
1440567,hbo,subs,,,קֻבָּה,women's room,1,5715
1440568,hbo,verb,,,דקר,pierce,11,2114
1440569,hbo,subs,,,קֵבָה,rennet-bag,2,4540
1440570,hbo,nmpr,pers,,זִמְרִי,Zimri,14,1828
1440571,hbo,nmpr,pers,,סָלוּא,Salu,1,5715
1440572,hbo,adjv,,gntl,שִׁמְעֹנִי,Simeonite,4,3479
1440573,hbo,nmpr,pers,,כָּזְבִּי,Cozbi,2,4540
1440574,hbo,nmpr,pers,,צוּר,Zur,5,3122
1440575,hbo,subs,,,נֵכֶל,cunning,1,5715
1440576,hbo,adjv,,gntl,חֲנֹכִי,Hanochite,1,5715
1440577,hbo,adjv,,gntl,פַּלֻּאִי,Palluite,1,5715
1440578,hbo,adjv,,gntl,חֶצְרֹונִי,Hezronite,2,4540
1440579,hbo,adjv,,gntl,כַּרְמִי,Carmite,1,5715
1440580,hbo,adjv,,gntl,רְאוּבֵנִי,Reubenite,18,1543
1440581,hbo,nmpr,pers,,נְמוּאֵל,Nemuel,3,3915
1440582,hbo,adjv,,gntl,נְמוּאֵלִי,Nemuelite,1,5715
1440583,hbo,adjv,,gntl,יָמִינִי,Jaminite,1,5715
1440584,hbo,adjv,,gntl,יָכִינִי,Jakinite,1,5715
1440585,hbo,adjv,,gntl,זַרְחִי,Zerahite,6,2866
1440586,hbo,adjv,,gntl,שָׁאוּלִי,Shaulite,1,5715
1440587,hbo,nmpr,pers,,צְפֹון,Zephon,1,5715
1440588,hbo,adjv,,gntl,צְפֹונִי,Zephonite,1,5715
1440589,hbo,adjv,,gntl,חַגִּי,Haggite,1,5715
1440590,hbo,adjv,,gntl,שׁוּנִי,Shunite,1,5715
1440591,hbo,nmpr,pers,,אָזְנִי,Ozni,1,5715
1440592,hbo,adjv,,gntl,אָזְנִי,Oznite,1,5715
1440593,hbo,adjv,,gntl,עֵרִי,Erite,1,5715
1440594,hbo,nmpr,pers,,אֲרֹוד,Arodi,1,5715
1440595,hbo,adjv,,gntl,אֲרֹודִי,Arodite,1,5715
1440596,hbo,adjv,,gntl,אַרְאֵלִי,Arelite,1,5715
1440597,hbo,adjv,,gntl,שֵׁלָנִי,Shelanite,1,5715
1440598,hbo,adjv,,gntl,פַּרְצִי,Perezite,1,5715
